"sector_name","sum"
"Information, culture and recreation [51, 71]","20815872000000"
"Agriculture, forestry, fishing and hunting [11]","9845472000000"
"Retail trade [44-45]","26958960000000"
"Utilities [22]","12635280000000"
"Public administration [91]","33878880000000"
"Construction [23]","37636368000000"
"Accommodation and food services [72]","10668672000000"
"Finance and insurance [52]","33541872000000"
"Professional, scientific and technical services [54]","27838272000000"
"Health care and social assistance [62]","34405056000000"
"Business, building and other support services [55, 56]","17958864000000"
"Mining, quarrying, and oil and gas extraction [21]","52687152000000"
"Transportation and warehousing [48-49]","21252000000000"
"Manufacturing [31-33]","59081232000000"
"Educational services [61]","26871264000000"
"Other services (except public administration) [81]","10338720000000"
"Real estate and rental and leasing [53]","59044272000000"
