"employee_gender","sector_name","number_of_employees"
"Female","Accommodation and food services [72]","19611200"
"Female","Agriculture, forestry, fishing and hunting [11]","3137540"
"Female","Business, building and other support services [55, 56]","9926000"
"Female","Construction [23]","4390400"
"Female","Educational services [61]","22052800"
"Female","Finance and insurance [52]","13562080"
"Female","Health care and social assistance [62]","44102800"
"Female","Information, culture and recreation [51, 71]","10231200"
"Female","Manufacturing [31-33]","16287600"
"Female","Mining, quarrying, and oil and gas extraction [21]","1492400"
"Female","Other services (except public administration) [81]","11737600"
"Female","Professional, scientific and technical services [54]","14462000"
"Female","Public administration [91]","13104000"
"Female","Real estate and rental and leasing [53]","3922800"
"Female","Retail trade [44-45]","33090400"
"Female","Transportation and warehousing [48-49]","6143704"
"Female","Utilities [22]","946400"
"Male","Accommodation and food services [72]","13196400"
"Male","Agriculture, forestry, fishing and hunting [11]","8761200"
"Male","Business, building and other support services [55, 56]","11788000"
"Male","Construction [23]","33331200"
"Male","Educational services [61]","11208400"
"Male","Finance and insurance [52]","8582000"
"Male","Health care and social assistance [62]","9762900"
"Male","Information, culture and recreation [51, 71]","11438000"
"Male","Manufacturing [31-33]","41244000"
"Male","Mining, quarrying, and oil and gas extraction [21]","6497624"
"Male","Other services (except public administration) [81]","9819600"
"Male","Professional, scientific and technical services [54]","19779200"
"Male","Public administration [91]","12614000"
"Male","Real estate and rental and leasing [53]","4823476"
"Male","Retail trade [44-45]","27300000"
"Male","Transportation and warehousing [48-49]","19250000"
"Male","Utilities [22]","3100804"
