"graduate_gender","field_of_study","number_of_graduates"
"Female","Agriculture, natural resources and conservation [9]","1379448.0"
"Female","Architecture, engineering and related technologies [8]","3147516.0"
"Female","Business, management and public administration [5]","20998332.0"
"Female","Education [1]","9957240.0"
"Female","Health and related fields [10]","17664768.0"
"Female","Humanities [3]","11995200.0"
"Female","Mathematics, computer and information sciences [7]","1481652.0"
"Female","Other  [12]","477972.0"
"Female","Personal improvement and leisure [0]","343332.0"
"Female","Personal, protective and transportation services [11]","1899036.0"
"Female","Physical and life sciences and technologies [6]","6320736.0"
"Female","Social and behavioural sciences and law [4]","18143352.0"
"Female","Unclassified","7344.0"
"Female","Visual and performing arts, and communications technologies [2]","4824396.0"
"Male","Agriculture, natural resources and conservation [9]","1380060.0"
"Male","Architecture, engineering and related technologies [8]","14326920.0"
"Male","Business, management and public administration [5]","14967684.0"
"Male","Education [1]","2935764.0"
"Male","Health and related fields [10]","4334796.0"
"Male","Humanities [3]","6571044.0"
"Male","Mathematics, computer and information sciences [7]","3472488.0"
"Male","Other  [12]","258876.0"
"Male","Personal improvement and leisure [0]","179928.0"
"Male","Personal, protective and transportation services [11]","2806632.0"
"Male","Physical and life sciences and technologies [6]","4966380.0"
"Male","Social and behavioural sciences and law [4]","7653060.0"
"Male","Unclassified","2448.0"
"Male","Visual and performing arts, and communications technologies [2]","2784600.0"
