"year","sector_name","gdp_value"
"2020","Real estate and rental and leasing [53]","293886000000"
"2019","Real estate and rental and leasing [53]","282688000000"
"2018","Real estate and rental and leasing [53]","267102000000"
"2017","Real estate and rental and leasing [53]","257949000000"
"2016","Real estate and rental and leasing [53]","249016000000"
"2015","Real estate and rental and leasing [53]","238235000000"
"2014","Real estate and rental and leasing [53]","228526000000"
"2018","Manufacturing [31-33]","220573000000"
"2013","Real estate and rental and leasing [53]","219018000000"
"2019","Manufacturing [31-33]","215153000000"
