"sector_name","sum"
"Information, culture and recreation [51, 71]","449604624000000"
"Agriculture, forestry, fishing and hunting [11]","217408464000000"
"Retail trade [44-45]","576352560000000"
"Utilities [22]","267908256000000"
"Public administration [91]","778441440000000"
"Construction [23]","794953824000000"
"Accommodation and food services [72]","239242080000000"
"Finance and insurance [52]","731486784000000"
"Professional, scientific and technical services [54]","633725232000000"
"Health care and social assistance [62]","796667424000000"
"Business, building and other support services [55, 56]","373839648000000"
"Mining, quarrying, and oil and gas extraction [21]","735803040000000"
"Transportation and warehousing [48-49]","495811680000000"
"Manufacturing [31-33]","1335461232000000"
"Educational services [61]","605650416000000"
"Other services (except public administration) [81]","229589808000000"
"Real estate and rental and leasing [53]","1392934368000000"
