"year","sector_name","moving_average"
"2000","Real estate and rental and leasing [53]","123690500000.00000000"
"2000","Agriculture, forestry, fishing and hunting [11]","23673000000.00000000"
"2000","Mining, quarrying, and oil and gas extraction [21]","58049500000.00000000"
"2000","Transportation and warehousing [48-49]","47365000000.00000000"
"2000","Accommodation and food services [72]","23220500000.00000000"
"2000","Business, building and other support services [55, 56]","30610000000.00000000"
"2000","Construction [23]","53308500000.00000000"
"2000","Educational services [61]","53136500000.00000000"
"2000","Utilities [22]","26956500000.00000000"
"2000","Professional, scientific and technical services [54]","53310000000.00000000"
"2000","Other services (except public administration) [81]","21774500000.00000000"
"2000","Health care and social assistance [62]","65502000000.00000000"
"2000","Public administration [91]","66005500000.00000000"
"2000","Manufacturing [31-33]","185936000000.00000000"
"2000","Finance and insurance [52]","64828000000.00000000"
"2000","Information, culture and recreation [51, 71]","42590000000.00000000"
"2000","Retail trade [44-45]","52417500000.00000000"
"2001","Real estate and rental and leasing [53]","127099333333.33333333"
"2001","Educational services [61]","54609333333.33333333"
"2001","Finance and insurance [52]","65880000000.00000000"
"2001","Transportation and warehousing [48-49]","48201333333.33333333"
"2001","Information, culture and recreation [51, 71]","44139333333.33333333"
"2001","Other services (except public administration) [81]","22420666666.66666667"
"2001","Construction [23]","55379333333.33333333"
"2001","Mining, quarrying, and oil and gas extraction [21]","55877000000.00000000"
"2001","Public administration [91]","67788333333.33333333"
"2001","Retail trade [44-45]","54119000000.00000000"
"2001","Business, building and other support services [55, 56]","32207000000.00000000"
"2001","Professional, scientific and technical services [54]","54246333333.33333333"
"2001","Agriculture, forestry, fishing and hunting [11]","23684333333.33333333"
"2001","Utilities [22]","27409333333.33333333"
"2001","Manufacturing [31-33]","186464000000.00000000"
"2001","Health care and social assistance [62]","67656666666.66666667"
"2001","Accommodation and food services [72]","23704666666.66666667"
"2002","Transportation and warehousing [48-49]","49696000000.00000000"
"2002","Finance and insurance [52]","68912333333.33333333"
"2002","Construction [23]","59236000000.00000000"
"2002","Accommodation and food services [72]","24297666666.66666667"
"2002","Health care and social assistance [62]","72251000000.00000000"
"2002","Business, building and other support services [55, 56]","35142333333.33333333"
"2002","Professional, scientific and technical services [54]","56520666666.66666667"
"2002","Manufacturing [31-33]","185025333333.33333333"
"2002","Mining, quarrying, and oil and gas extraction [21]","59793666666.66666667"
"2002","Other services (except public administration) [81]","23596000000.00000000"
"2002","Educational services [61]","57549000000.00000000"
"2002","Retail trade [44-45]","57717333333.33333333"
"2002","Public administration [91]","70962000000.00000000"
"2002","Real estate and rental and leasing [53]","133322666666.66666667"
"2002","Information, culture and recreation [51, 71]","46957666666.66666667"
"2002","Agriculture, forestry, fishing and hunting [11]","24557666666.66666667"
"2002","Utilities [22]","28713666666.66666667"
"2003","Educational services [61]","60613000000.00000000"
"2003","Construction [23]","63735333333.33333333"
"2003","Business, building and other support services [55, 56]","38001333333.33333333"
"2003","Other services (except public administration) [81]","24634666666.66666667"
"2003","Mining, quarrying, and oil and gas extraction [21]","69134000000.00000000"
"2003","Finance and insurance [52]","72767000000.00000000"
"2003","Agriculture, forestry, fishing and hunting [11]","26126000000.00000000"
"2003","Transportation and warehousing [48-49]","51037333333.33333333"
"2003","Accommodation and food services [72]","25119000000.00000000"
"2003","Health care and social assistance [62]","76489666666.66666667"
"2003","Utilities [22]","29974000000.00000000"
"2003","Public administration [91]","74519333333.33333333"
"2003","Real estate and rental and leasing [53]","139459666666.66666667"
"2003","Manufacturing [31-33]","187486666666.66666667"
"2003","Information, culture and recreation [51, 71]","50248000000.00000000"
"2003","Retail trade [44-45]","61367666666.66666667"
"2003","Professional, scientific and technical services [54]","58925666666.66666667"
"2004","Professional, scientific and technical services [54]","61999666666.66666667"
"2004","Public administration [91]","78332000000.00000000"
"2004","Health care and social assistance [62]","80446333333.33333333"
"2004","Transportation and warehousing [48-49]","53578666666.66666667"
"2004","Educational services [61]","63690000000.00000000"
"2004","Retail trade [44-45]","65018000000.00000000"
"2004","Finance and insurance [52]","77766666666.66666667"
"2004","Construction [23]","69438000000.00000000"
"2004","Information, culture and recreation [51, 71]","53189333333.33333333"
